periode,valeur,valeur_alternative,precision,source,url
2022,56,,année complète,RTBF,https://www.rtbf.be/article/fusillades-a-bruxelles-cartographie-d-une-augmentation-des-violences-liees-a-la-drogue-dans-la-capitale-11507104
2023,,,pas de total consolidé trouvé,,
2024,92,89,"89 au 23/12/2024 (9 morts, 48 blessés)",RTBF,https://www.rtbf.be/article/fusillades-a-bruxelles-cartographie-d-une-augmentation-des-violences-liees-a-la-drogue-dans-la-capitale-11507104
2025,97,>100,97 au 15/12/2025 ; plus de 100 au rapport annuel police fédérale,Moustique,https://www.moustique.be/notre-epoque/nos-explications/2025/12/23/97-fusillades-en-2025-a-bruxelles-chaque-personne-qui-circule-a-bruxelles-peut-prendre-une-balle-perdue-3ZGC6JZLYNE3VD7PDHJ5J666NI/
2026-01/2026-07,57,,sept premiers mois,BX1,https://bx1.be/categories/news/bruxelles-57-fusillades-recensees-au-cours-des-sept-premiers-mois-de-2026/
2026-01/2026-08-28,69,,au 28 août,La Libre Belgique,https://www.lalibre.be/belgique/judiciaire/2026/08/28/il-y-a-des-risques-pour-les-citoyens-julien-moinil-fait-le-point-sur-les-69-fusillades-depuis-le-debut-de-lannee-et-reclame-des-moyens-P6AJ4TQ6JJHSRKYCWXOFX4ECTI/
2026-01/2026-08,70,,71 % liées au trafic,La DH,https://www.dhnet.be/regions/bruxelles/2026/09/18/lutte-contre-le-trafic-de-drogue-dans-la-capitale-un-19e-hotspot-a-bruxelles-voici-ou-il-se-trouve-SMEFIOS2KRCM3MOE7VJPXDYFQI/
